Operateur;X;Y;2G;3G;4G
20810;120225;2354100;1;0;0
20810;120226;2375339;1;1;1
20801;120248;2349457;1;0;0
20820;120265;2353978;1;1;1
20810;120270;2353980;1;1;1
20801;120320;2350172;0;0;0
20820;120375;2350209;1;1;1
20810;120413;2351562;1;1;1
20820;120430;2351550;1;1;1
20801;120638;2353802;1;1;0
20815;120650;2351704;0;1;1
20801;120653;2351684;1;1;0
20815;120783;2344689;0;1;1
20810;120790;2344669;1;1;1
20820;120825;2344700;1;1;1
20820;120930;2351660;1;1;1
20810;120933;2351638;1;1;1
20801;120950;2351600;1;0;0
20801;121110;2354591;1;1;0
20810;121148;2407642;1;0;0
20815;121338;2355026;0;1;1
20801;121418;2383908;1;1;0
20801;121568;2352684;0;1;0
20801;121590;2411260;0;1;1
20820;121640;2350150;1;1;1
20801;121640;2350150;1;1;0
20810;121644;2350157;1;1;1
20815;121647;2350166;0;1;0
20820;121693;2350463;1;0;0
20810;121718;2352645;1;1;1
20820;121718;2352651;1;1;1
20820;121721;2381434;1;1;1
20815;121725;2352639;0;1;1
20810;121730;2381430;1;1;1
20801;121870;2353630;1;1;1
20810;121948;2426335;1;1;1
20820;121959;2426307;1;1;1
20801;122028;2350982;1;1;1
20810;122032;2350899;1;1;1
20820;122040;2350890;1;1;1
20810;122170;2357290;1;1;1
20820;122170;2357292;1;1;1
20801;122235;2378475;1;1;0
20810;122311;2408914;0;1;0
20820;122311;2408914;1;1;0
20801;122311;2408914;0;1;0
20801;122376;2352304;1;1;1
20820;122440;2343000;1;1;1
20810;122455;2342994;1;1;1
20801;122460;2343000;1;1;0
20801;122462;2375355;1;1;1
20801;122555;2374620;0;0;0
20801;122805;2370805;1;1;0
20801;122808;2357339;1;1;0
20815;122817;2357354;0;1;1
20801;123080;2350962;1;1;1
20810;123134;2382301;0;1;0
20810;123320;2417880;1;1;1
20820;123320;2417880;1;1;1
20801;123537;2380603;1;1;1
20801;123825;2351035;1;1;1
20815;123954;2381406;0;1;1
20801;123975;2402936;1;1;0
20801;123989;2353423;1;1;0
20815;123993;2353415;0;1;1
20820;124005;2353420;1;1;1
20810;124010;2353420;1;1;1
20801;124135;2352560;1;1;0
20810;124296;2419758;1;1;1
20820;124296;2419758;1;1;1
20815;124319;2419787;0;1;1
20810;124375;2376060;1;1;1
20820;124375;2376060;1;1;1
20815;124775;2340490;0;1;1
20820;124787;2340481;1;1;1
20810;124825;2340457;1;1;1
20820;124955;2397250;1;1;0
20815;124983;2397255;0;1;1
20810;125047;2350772;1;1;1
20801;125058;2376418;1;1;0
20815;125058;2376418;0;1;1
20820;125080;2350800;1;1;1
20801;125327;2355910;1;1;0
20801;125350;2340660;1;1;1
20810;125550;2346091;1;1;1
20801;125555;2346080;1;1;0
20820;125560;2346100;1;1;1
20801;125615;2362692;1;1;0
20820;125677;2350894;1;0;0
20820;125750;2337420;1;1;1
20801;125750;2337420;1;1;1
20815;125755;2337405;0;1;1
20810;125764;2337386;1;1;1
20801;125830;2427370;1;1;1
20810;125930;2427410;1;1;1
20820;125932;2427406;1;1;1
20815;125932;2427406;0;1;1
20820;125961;2410294;1;0;0
20801;126000;2350425;1;1;0
20815;126004;2369708;0;1;1
20810;126183;2410351;1;1;1
20820;126183;2410351;1;1;1
20801;126256;2408695;0;1;0
20815;126303;2353692;0;1;1
