Operateur;X;Y;2G;3G;4G
20801;853825;6425206;1;1;0
20801;850263;6427487;1;1;1
20801;852263;6426393;1;1;1
20801;849886;6430379;1;1;1
20801;836346;6372018;1;1;1
20801;834882;6366509;1;1;1
20801;837263;6385805;1;1;1
20801;840267;6384356;1;1;1
20801;837301;6384414;1;1;1
20801;841709;6407766;1;1;1
20801;914186;6402965;1;1;0
20801;863910;6438591;1;1;1
20801;867949;6387329;1;1;0
20801;838410;6365426;1;1;1
20801;837590;6368737;1;1;1
20801;838532;6369965;1;1;1
20801;843108;6383253;1;1;1
20801;841612;6381567;1;1;1
20801;845836;6386553;1;1;1
20801;848183;6389384;1;1;1
20801;848841;6393674;1;1;1
20801;853745;6401342;1;1;1
20801;855096;6403061;1;1;1
20801;856857;6406121;1;1;1
20801;857875;6408710;1;1;1
20801;858913;6411514;1;1;1
20801;859183;6413820;1;1;1
20801;858996;6417735;1;1;1
20801;858467;6420407;1;1;1
20801;857145;6426328;1;1;1
20801;856233;6430720;1;1;1
20801;834400;6363796;1;0;0
20801;839108;6373228;1;1;1
20801;857681;6434985;1;1;0
20801;856348;6438346;1;1;1
20801;854152;6444833;1;1;1
20801;852983;6447026;1;1;1
20801;850173;6450119;1;1;1
20801;851134;6453503;1;1;1
20801;851453;6456875;1;1;1
20801;853704;6464633;1;1;1
20801;853634;6465835;1;1;1
20801;854659;6469373;1;0;0
20801;855398;6471804;1;1;1
20801;848890;6423451;1;1;1
20801;844685;6442743;1;1;0
20801;834966;6365670;1;1;1
20801;853313;6400000;1;0;0
20801;860169;6437246;1;1;0
20801;855731;6434998;1;1;1
20801;838544;6361159;1;1;0
20801;859772;6405410;1;1;1
20801;849713;6417506;1;1;1
20801;846561;6445314;1;1;0
20801;861083;6440563;1;1;1
20801;895026;6377701;1;1;0
20801;855799;6356123;1;1;1
20801;863817;6387026;1;1;0
20801;878148;6366310;1;1;0
20801;883341;6378923;1;1;0
20801;893182;6385176;1;1;0
20801;875680;6382499;1;1;0
20801;883676;6390653;1;1;0
20801;887772;6380382;1;1;0
20801;874075;6398807;1;1;0
20801;876088;6378346;1;1;0
20801;889137;6383788;1;1;0
20801;890990;6388871;1;1;0
20801;892439;6392840;1;1;0
20801;896512;6373568;1;1;0
20801;882473;6398839;1;1;0
20801;871899;6374741;1;1;0
20801;870907;6383542;1;1;0
20801;875164;6395127;1;1;0
20801;869936;6391664;1;1;0
20801;880953;6388176;1;1;0
20801;861580;6438838;1;1;1
20801;877267;6442408;1;1;0
20801;843947;6407985;1;1;1
20801;858128;6424256;1;1;1
20801;843406;6361394;1;1;1
20801;850244;6424716;1;1;1
20801;887064;6409501;1;1;0
20801;837987;6361523;1;1;1
20801;835929;6378587;1;1;1
20801;851707;6426720;1;1;1
20801;871254;6441012;1;1;0
20801;896043;6343729;1;1;0
20801;855623;6470039;1;1;1
20801;851187;6451075;1;1;1
20801;855753;6436999;1;1;1
20801;835062;6359866;1;1;1
20801;836254;6363303;1;1;1
20801;841336;6379040;1;1;1
20801;845447;6384452;1;1;1
