org;adr;dep;com;gps;lat;long;catr;voie;v1;v2;pr;pr1;ttue;tbg;tbl;tindm;typenumero;numero;distancemetre;libellevoie;coderivoli;grav
5;BAIMBRIDGE;971;101;;;;;;;;;;0;0;1;1;1;;0;BAIMBRIDGE;;0,44
1;;971;115;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;CHAZEAU;971;101;;;;;;;;;;0;0;1;0;1;0;0;CHAZEAU;;0,44
5;RN5-BOISRIPEAUX;971;101;;;;;;;;;;0;0;1;1;1;;0;RN5-BOISRIPEAUX;;0,44
5;BAIMBRIDGE;971;101;;;;;;;;;;0;0;1;1;1;;0;BAIMBRIDGE;;0,44
5;GRAND CAMP(SECTION);971;101;;;;;;;;;;0;0;1;1;1;;0;GRAND CAMP(SECTION);;0,44
5;GRAND CAMP(SECTION);971;101;;;;;;;;;;0;0;1;1;1;;0;GRAND CAMP(SECTION);;0,44
5;, MORNE CARUEL;971;101;;;;;;;;;;0;0;1;1;1;;0;MORNE CARUEL;;0,44
5;, CHAZEAU;971;101;;;;;;;;;;0;0;1;1;1;;0;CHAZEAU;;0,44
1;;971;121;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;Section Richer;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;RN 5 section BLANCHET;971;116;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;BEAUSOLEIL;971;101;;;;;;;;;;0;0;1;2;1;0;0;BEAUSOLEIL;;0,44
5;RN4 - SECTION RIVIERA;971;113;;;;;;;;;;0;0;1;1;1;;0;RN4 - SECTION RIVIERA;;0,44
5;CHANZY (BOULEVARD);971;120;;;;;;;;;;0;0;1;1;1;0;0;CHANZY (BOULEVARD);;0,44
5;00, VILLE D'ORLY (RUE DE;971;120;;;;;;;;;;0;0;1;1;1;0;0;VILLE D'ORLY (RUE DE LA);;0,44
5;BOISRIPEAUX;971;101;;;;;;;;;;0;0;1;1;1;;0;BOISRIPEAUX;;0,44
5;, RN05;971;101;;;;;;;;;;0;0;1;1;1;;0;RN05;;0,44
5;SECTION GRANDE RAVINE;971;113;;;;;;;;;;0;0;1;3;1;;0;SECTION GRANDE RAVINE;;0,44
5;SECTION MATHURIN;971;113;;;;;;;;;;0;0;1;1;1;0;0;SECTION MATHURIN;;0,44
1;section roseau;971;107;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;1, DUMANOIR ( ALLEE );971;107;;;;;;;;;;0;0;1;2;1;1;0;DUMANOIR ( ALLEE );;0,44
5;00, LOUISY MATHIEU;971;120;;;;;;;;;;0;0;1;1;1;0;0;LOUISY MATHIEU;;0,44
5;PETIT PEROU;971;101;;;;;;;;;;0;0;1;1;1;;0;PETIT PEROU;;0,44
5;CHAUVEL;971;101;;;;;;;;;;0;0;1;1;1;;0;CHAUVEL;;0,44
5;RN4 - SECTION RIVIERA;971;113;;;;;;;;;;0;0;1;1;1;;0;RN4 - SECTION RIVIERA;;0,44
5;RN4, RN4 - SECTION RIVIE;971;113;;;;;;;;;;0;0;1;2;1;;0;RN4 - SECTION RIVIERA;;0,44
5;SECTION MOREAU;971;113;;;;;;;;;;0;0;1;2;1;0;0;SECTION MOREAU;;0,44
1;RN 2, le bourg;971;104;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;Chemin communal;971;104;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;ROUTE DE CHAZEAU;971;101;;;;;;;;;;0;0;1;1;1;;0;ROUTE DE CHAZEAU;;0,44
5;CARAQUE;971;101;;;;;;;;;;0;0;1;1;1;0;0;CARAQUE;;0,44
5;LE RAIZET(SECTEUR);971;101;;;;;;;;;;0;0;1;2;1;0;0;LE RAIZET(SECTEUR);;0,44
1;e laurette, morne rouge;971;129;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;00 0077, MAURICE MARIE-C;971;105;;;;;;;;;;0;0;1;1;1;;0;MAURICE MARIE-CLAIRE(RUE);;0,44
5;00 0001, VICTOR HUGUES (;971;105;;;;;;;;;;0;0;1;1;1;;0;VICTOR HUGUES (RUE);;0,44
5;SECTION BESSON;971;113;;;;;;;;;;0;0;1;0;1;;0;SECTION BESSON;;0,44
5;SECTEUR DAMPIERRE;971;113;;;;;;;;;;0;0;1;1;1;;0;SECTEUR DAMPIERRE;;0,44
5;GOUVERNEUR DU LYON (AVE);971;105;;;;;;;;;;0;0;1;1;2;19105000;0;GOUVERNEUR DU LYON (AVE);;0,44
5;DUGAZON;971;101;;;;;;;;;;0;0;1;1;1;0;0;DUGAZON;;0,44
5;SECTION MARE-GAILLARD;971;113;;;;;;;;;;0;0;1;3;1;;0;SECTION MARE-GAILLARD;;0,44
5;ROUTE DE BOISVINS;971;101;;;;;;;;;;0;0;1;1;1;0;0;ROUTE DE BOISVINS;;0,44
1;Chemin  petite montagne;971;132;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;Rue Carnot;971;123;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;115;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;118;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;section LAUTHIE;971;116;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;GOUVERNEUR DU LYON (AVE);971;105;;;;;;;;;;0;0;1;1;1;19105000;0;GOUVERNEUR DU LYON (AVE);;0,44
5;AEROPORT POLE CARAIBES;971;101;;;;;;;;;;0;0;1;1;1;;0;AEROPORT POLE CARAIBES;;0,44
5;BD LEGITIMUS;971;120;;;;;;;;;;0;0;1;1;1;0;0;BD LEGITIMUS;;0,44
1;Rue L.Phlippe Longueteau;971;109;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
1;Section Forte Ile;971;114;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;Fonds thézan;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;DESRAVINIERES;971;101;;;;;;;;;;0;0;1;1;1;0;0;DESRAVINIERES;;0,44
1;section ziotte;971;111;A;0;0;;;;;;;0;0;1;3;;;;;;0,44
1;SECTION SAINTE CLAIRE;971;114;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;Rue Auguste Nyman;971;123;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;Carrefour des Mangles;971;119;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;ont de l'alliance - RN11;971;101;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
5;CHARLES DE GAULLE (BD DU;971;105;;;;;;;;;;0;0;1;1;9;;0;CHARLES DE GAULLE (BD DU GENERAL);;0,44
5;20, LARDENOY (RUE DE );971;105;;;;;;;;;;0;0;1;1;1;20;0;LARDENOY (RUE DE );;0,44
5;DUMANOIR ( ALLEE );971;107;;;;;;;;;;0;0;1;1;1;;0;DUMANOIR ( ALLEE );;0,44
5;D119, Amitié des peuples;971;120;;;;;;;;;;0;0;1;1;1;;0;Amitié des peuples;;0,44
1;;971;107;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;Dubic section Montplaisi;971;129;A;0;0;;;;;;;0;0;1;4;;;;;;0,44
5;BAS DU FORT;971;113;;;;;;;;;;0;0;1;3;1;;0;BAS DU FORT;;0,44
5;00, CADUC;971;101;;;;;;;;;;0;0;1;1;1;0;0;CADUC;;0,44
1;;971;103;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;DUMANOIR ( ALLEE );971;107;;;;;;;;;;0;0;1;0;0;;0;DUMANOIR ( ALLEE );;0,44
1;chemin du calvaire;971;110;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;CHARLES DE GAULLE (BD DU;971;105;;;;;;;;;;0;0;1;1;9;;0;CHARLES DE GAULLE (BD DU GENERAL);;0,44
5;GERARD TURLET (RUE);971;107;;;;;;;;;;0;0;1;1;1;1;0;FRAMBOISINS ( ALLEE DES );;0,44
5;00, GENERAL DE GAULLE;971;101;;;;;;;;;;0;0;1;1;1;0;0;GENERAL DE GAULLE;;0,44
5;00, HOPITAL (BOULEVARD D;971;120;;;;;;;;;;0;0;1;3;1;0;0;HOPITAL (BOULEVARD DE L');;0,44
1;RN9 - rue grande savane;971;112;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
1;Rue du Moule;971;116;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
5;FLAMBOYANTS ( ALLEE DES;971;107;;;;;;;;;;0;0;1;1;1;1;0;SAINT RUFF (AVENUE);;0,44
5;00, GENERAL DE GAULLE (A;971;113;;;;;;;;;;0;0;1;1;1;0;0;GENERAL DE GAULLE (AVENUE);;0,44
5;000, BD LEGITIMUS;971;120;;;;;;;;;;0;0;1;1;1;0;0;BD LEGITIMUS;;0,44
5;VICTOR HUGUES (RUE);971;105;;;;;;;;;;0;0;1;1;1;;0;VICTOR HUGUES (RUE);;0,44
5;DUMANOIR ( ALLEE );971;107;;;;;;;;;;0;0;1;1;1;1;0;DUMANOIR ( ALLEE );;0,44
5;000, SECTION GRANDE RAVI;971;113;;;;;;;;;;0;0;1;2;1;0;0;SECTION GRANDE RAVINE;;0,44
5;00, VIEUX BOURG;971;101;;;;;;;;;;0;0;1;1;1;0;0;VIEUX BOURG;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
1;;971;128;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
1;RN.5;971;101;A;0;0;;;;;;;0;0;1;0;;;;;;0,44
1;FONDS BUDAN;971;103;A;0;0;;;;;;;0;0;1;1;;;;;;0,44
5;, MALLIAN  (RUE);971;105;;;;;;;;;;0;0;1;1;1;4;0;MALLIAN  (RUE);;0,44
